id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
97,UVA,b.similar,0,0,1,NA,NA,NA,4,6,NA,1,0,5
98,UVA,b.similar,0,1,1,4,1,0,8,4,540,1,0,5
99,UVA,b.similar,1,0,0,NA,NA,NA,9,8,NA,0,0,5
100,UVA,b.similar,1,1,2,5,6,8,7,9,540,0,0,5
101,UVA,b.similar,0,0,0,NA,NA,NA,7,4,NA,1,0,5
102,UVA,b.similar,0,1,8,2,5,7,10,9,556,1,0,5
103,UVA,b.similar,1,0,1,NA,NA,NA,8,6,NA,0,0,5
104,UVA,b.similar,0,0,1,NA,NA,NA,9,8,NA,1,0,5
105,UVA,b.similar,1,1,6,5,8,9,4,5,530,0,0,5
106,UVA,b.similar,1,0,4,NA,NA,NA,7,5,NA,0,0,5
107,UVA,b.similar,0,1,1,2,10,8,6,3,510,1,0,5
108,UVA,b.similar,0,0,1,NA,NA,NA,8,3,NA,1,0,5
111,UVA,b.similar,0,1,2,1,10,10,5,6,531,1,0,5
112,UVA,b.similar,1,1,2,4,3,2,8,8,517,0,0,5
113,UVA,b.similar,0,0,1,NA,NA,NA,9,8,NA,1,0,5
114,UVA,b.similar,1,0,2,NA,NA,NA,7,7,NA,0,0,5
116,UVA,b.similar,0,0,3,NA,NA,NA,10,9,NA,1,0,5
117,UVA,b.similar,1,0,0,NA,NA,NA,10,9,NA,0,0,5
118,UVA,b.similar,1,1,3,4,4,4,5,6,525,0,0,5
119,UVA,b.similar,0,0,1,NA,NA,NA,9,8,NA,1,0,5
120,UVA,b.similar,1,1,1,5,7,6,6,5,499,0,0,5
121,UVA,b.similar,0,1,1,1,7,8,8,7,550,1,0,5
122,UVA,b.similar,1,0,3,NA,NA,NA,7,7,NA,0,0,5
123,UVA,b.similar,0,0,4,NA,NA,NA,10,10,NA,1,0,5
124,UVA,b.similar,0,1,1,3,8,4,10,6,492,1,0,5
125,UVA,b.similar,1,0,7,NA,NA,NA,9,10,NA,0,0,5
126,UVA,b.similar,1,1,6,1,4,6,6,5,493,0,0,5
127,UVA,b.similar,1,0,8,NA,NA,NA,10,8,NA,0,0,5
128,UVA,b.similar,0,1,3,4,8,7,6,6,541,1,0,5
129,UVA,b.similar,1,1,1,4,6,6,4,5,531,0,0,5
130,UVA,b.similar,0,0,2,NA,NA,NA,6,5,NA,1,0,5
131,UVA,b.similar,0,0,3,NA,NA,NA,4,1,NA,1,0,5
132,UVA,b.similar,0,1,6,5,7,5,9,7,498,1,0,5
133,UVA,b.similar,1,0,1,NA,NA,NA,6,3,NA,0,0,5
134,UVA,b.similar,1,1,4,5,9,10,9,6,531,0,0,5
135,UVA,b.similar,1,1,5,1,9,9,8,5,519,0,0,5
136,UVA,b.similar,1,0,0,NA,NA,NA,6,8,NA,0,0,5
137,UVA,b.similar,0,0,0,NA,NA,NA,8,7,NA,1,0,5
138,UVA,b.similar,0,1,2,2,6,4,8,7,519,1,0,5
139,UVA,b.similar,1,1,1,1,7,6,8,6,540,0,0,5
140,UVA,b.similar,1,0,1,NA,NA,NA,9,5,NA,0,0,5
141,UVA,b.similar,0,0,2,NA,NA,NA,7,8,NA,1,0,5
142,UVA,b.similar,0,1,5,2,5,7,8,8,537,1,0,5
143,UVA,b.similar,1,1,5,4,7,6,8,8,549,0,0,5
145,UVA,b.similar,0,0,5,NA,NA,NA,10,10,NA,1,0,5
146,UVA,b.similar,1,0,7,NA,NA,NA,9,10,NA,0,0,5
147,UVA,b.similar,0,1,7,4,6,7,9,9,492,1,0,5
148,UVA,b.similar,1,0,2,NA,NA,NA,10,10,NA,0,0,5
149,UVA,b.similar,1,1,1,5,10,10,7,3,513,0,0,5
150,UVA,b.similar,0,0,10,NA,NA,NA,10,9,NA,1,0,5
151,UVA,b.similar,1,1,2,3,7,6,6,9,531,0,0,5
152,UVA,b.similar,0,0,1,NA,NA,NA,6,7,NA,1,0,5
153,UVA,b.similar,0,1,5,4,7,6,10,5,487,1,0,5
154,UVA,b.similar,1,0,5,NA,NA,NA,7,4,NA,0,0,5
155,UVA,b.similar,1,1,3,2,10,9,5,5,511,0,0,5
156,UVA,b.similar,0,1,3,6,10,8,10,6,529,1,0,5
