id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
43,U Penn,b.similar,0,0,1,NA,NA,NA,9,10,NA,1,0,24
44,U Penn,b.similar,1,0,2,NA,NA,NA,7,5,NA,0,0,24
47,U Penn,b.similar,1,1,4,2,9,8,8,8,542,0,0,24
49,U Penn,b.similar,1,0,4,NA,NA,NA,8,8,NA,0,0,24
50,U Penn,b.similar,1,1,5,4,7,8,8,6,543,0,0,24
51,U Penn,b.similar,0,1,5,3,7,6,7,6,540,1,0,24
52,U Penn,b.similar,0,1,3,4,8,7,9,10,540,1,0,24
53,U Penn,b.similar,0,1,3,4,8,7,10,8,552,1,0,24
54,U Penn,b.similar,1,1,5,1,10,9,10,10,540,0,0,24
55,U Penn,b.similar,0,0,5,NA,NA,NA,8,10,NA,1,0,24
56,U Penn,b.similar,1,0,1,NA,NA,NA,6,6,NA,0,0,24
57,U Penn,b.similar,1,0,0,NA,NA,NA,10,9,NA,0,0,24
58,U Penn,b.similar,0,0,1,NA,NA,NA,9,8,NA,1,0,24
59,U Penn,b.similar,0,0,4,NA,NA,NA,7,8,NA,1,0,24
60,U Penn,b.similar,1,0,1,NA,NA,NA,9,4,NA,0,0,24
61,U Penn,b.similar,1,0,2,NA,NA,NA,8,6,NA,0,0,24
62,U Penn,b.similar,1,0,2,NA,NA,NA,8,5,NA,0,0,24
63,U Penn,b.similar,0,0,2,NA,NA,NA,6,3,NA,1,0,24
64,U Penn,b.similar,0,0,4,NA,NA,NA,8,7,NA,1,0,24
65,U Penn,b.similar,1,1,3,6,10,10,5,10,500,0,0,24
67,U Penn,b.similar,0,1,2,4,7,7,7,7,543,1,0,24
68,U Penn,b.similar,1,1,6,4,7,7,8,4,523,0,0,24
69,U Penn,b.similar,0,1,3,2,5,5,9,7,551,1,0,24
70,U Penn,b.similar,0,1,7,2,7,5,9,8,537,1,0,24
71,U Penn,b.similar,1,1,2,1,10,10,9,9,545,0,0,24
72,U Penn,b.similar,1,1,1,4,7,3,7,6,522,0,0,24
73,U Penn,b.similar,1,1,1,2,7,7,6,9,525,0,0,24
74,U Penn,b.similar,0,1,4,4,4,5,6,7,534,1,0,24
75,U Penn,b.similar,1,0,3,NA,NA,NA,9,6,NA,0,0,24
76,U Penn,b.similar,0,0,2,NA,NA,NA,9,5,NA,1,0,24
77,U Penn,b.similar,0,0,1,NA,NA,NA,4,1,NA,1,0,24
78,U Penn,b.similar,1,0,3,NA,NA,NA,9,9,NA,0,0,24
79,U Penn,b.similar,0,0,1,NA,NA,NA,5,9,NA,1,0,24
80,U Penn,b.similar,1,0,1,NA,NA,NA,10,2,NA,0,0,24
81,U Penn,b.similar,1,0,1,NA,NA,NA,9,9,NA,0,0,24
82,U Penn,b.similar,0,0,1,NA,NA,NA,7,1,NA,1,0,24
83,U Penn,b.similar,0,0,2,NA,NA,NA,9,7,NA,1,0,24
84,U Penn,b.similar,0,1,0,1,5,6,8,7,552,1,0,24
85,U Penn,b.similar,1,1,1,3,1,NA,10,1,1,0,0,24
86,U Penn,b.similar,0,1,7,4,8,6,10,7,531,1,0,24
87,U Penn,b.similar,1,1,1,3,6,6,8,8,540,0,0,24
88,U Penn,b.similar,0,1,7,2,9,9,8,9,531,1,0,24
89,U Penn,b.similar,1,1,2,2,8,9,9,8,534,0,0,24
90,U Penn,b.similar,0,1,1,4,6,5,4,6,498,1,0,24
91,U Penn,b.similar,1,1,3,3,7,8,9,10,523,0,0,24
92,U Penn,b.similar,0,0,0,NA,NA,NA,9,6,NA,1,0,24
93,U Penn,b.similar,1,0,2,NA,NA,NA,7,6,NA,0,0,24
94,U Penn,b.similar,1,0,5,NA,NA,NA,10,9,NA,0,0,24
95,U Penn,b.similar,0,0,3,NA,NA,NA,10,7,NA,1,0,24
96,U Penn,b.similar,0,0,1,NA,NA,NA,10,8,NA,1,0,24
97,U Penn,b.similar,1,0,0,NA,NA,NA,7,2,NA,0,0,24
98,U Penn,b.similar,1,0,1,NA,NA,NA,6,0,NA,0,0,24
99,U Penn,b.similar,0,1,7,1,10,10,7,10,543,1,0,24
101,U Penn,b.similar,0,1,4,5,8,8,10,7,534,1,0,24
102,U Penn,b.similar,0,1,4,4,4,3,7,5,474,1,0,24
103,U Penn,b.similar,1,1,0,3,9,9,3,5,525,0,0,24
104,U Penn,b.similar,0,1,2,1,10,10,8,4,549,1,0,24
105,U Penn,b.similar,1,1,1,2,9,7,6,2,531,0,0,24
106,U Penn,b.similar,1,1,6,5,10,8,8,6,531,0,0,24
107,U Penn,b.similar,0,0,3,NA,NA,NA,4,3,NA,1,0,24
108,U Penn,b.similar,0,0,1,NA,NA,NA,9,1,NA,1,0,24
109,U Penn,b.similar,1,0,2,NA,NA,NA,7,2,NA,0,0,24
110,U Penn,b.similar,1,0,1,NA,NA,NA,10,3,NA,0,0,24
111,U Penn,b.similar,0,0,1,NA,NA,NA,9,9,NA,1,0,24
112,U Penn,b.similar,1,0,1,NA,NA,NA,7,8,NA,0,0,24
113,U Penn,b.similar,0,0,9,NA,NA,NA,10,10,NA,1,0,24
114,U Penn,b.similar,0,1,7,6,9,8,10,8,479,1,0,24
115,U Penn,b.similar,0,1,5,4,5,4,5,5,552,1,0,24
116,U Penn,b.similar,1,0,1,NA,NA,NA,4,3,NA,0,0,24
117,U Penn,b.similar,0,0,0,NA,NA,NA,9,2,NA,1,0,24
119,U Penn,b.similar,1,1,3,2,8,9,9,9,540,0,0,24
121,U Penn,b.similar,0,1,5,4,9,8,10,9,534,1,0,24
122,U Penn,b.similar,1,1,6,2,6,6,4,7,543,0,0,24
123,U Penn,b.similar,1,0,1,NA,NA,NA,3,5,NA,0,0,24
124,U Penn,b.similar,0,0,1,NA,NA,NA,10,7,NA,1,0,24
126,U Penn,b.similar,0,0,2,NA,NA,NA,8,6,NA,1,0,24
127,U Penn,b.similar,1,0,1,NA,NA,NA,1,1,NA,0,0,24
128,U Penn,b.similar,1,0,1,NA,NA,NA,9,8,NA,0,0,24
129,U Penn,b.similar,0,0,2,NA,NA,NA,7,3,NA,1,0,24
130,U Penn,b.similar,1,0,4,NA,NA,NA,7,9,NA,0,0,24
131,U Penn,b.similar,0,1,6,3,5,5,6,5,552,1,0,24
132,U Penn,b.similar,0,1,3,1,6,7,9,6,534,1,0,24
133,U Penn,b.similar,1,1,1,5,8,7,10,10,531,0,0,24
134,U Penn,b.similar,1,1,2,4,6,6,5,7,528,0,0,24
136,U Penn,b.similar,0,1,4,1,9,9,4,7,553,1,0,24
137,U Penn,b.similar,1,1,2,1,10,10,2,6,264,0,0,24
138,U Penn,b.similar,1,1,1,3,4,6,7,9,528,0,0,24
139,U Penn,b.similar,0,0,6,NA,NA,NA,7,8,NA,1,0,24
140,U Penn,b.similar,0,0,3,NA,NA,NA,8,7,NA,1,0,24
141,U Penn,b.similar,1,0,2,NA,NA,NA,9,5,NA,0,0,24
142,U Penn,b.similar,1,0,4,NA,NA,NA,10,8,NA,0,0,24
143,U Penn,b.similar,0,0,3,NA,NA,NA,2,4,NA,1,0,24
144,U Penn,b.similar,0,0,4,NA,NA,NA,9,9,NA,1,0,24
145,U Penn,b.similar,1,0,2,NA,NA,NA,8,8,NA,0,0,24
147,U Penn,b.similar,1,0,3,NA,NA,NA,9,6,NA,0,0,24
