id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,BYUI,c.dissimilar,0,1,6,2,5,5,9,8,549,1,0,6
2,BYUI,c.dissimilar,1,0,3,NA,NA,NA,4,2,NA,0,0,6
3,BYUI,c.dissimilar,0,0,6,NA,NA,NA,4,4,NA,1,0,6
4,BYUI,c.dissimilar,1,0,1,NA,NA,NA,5,8,NA,0,0,6
5,BYUI,c.dissimilar,1,1,1,1,10,10,10,10,548,0,0,6
6,BYUI,c.dissimilar,0,1,1,1,9,8,4,8,552,1,0,6
7,BYUI,c.dissimilar,0,0,0,NA,NA,NA,4,3,NA,1,0,6
8,BYUI,c.dissimilar,1,0,3,NA,NA,NA,7,7,NA,0,0,6
9,BYUI,c.dissimilar,0,0,1,NA,NA,NA,3,3,NA,1,0,6
10,BYUI,c.dissimilar,0,1,3,2,7,10,9,9,531,1,0,6
12,BYUI,c.dissimilar,1,1,1,1,8,9,10,8,560,0,0,6
13,BYUI,c.dissimilar,1,0,3,NA,NA,NA,8,7,NA,0,0,6
14,BYUI,c.dissimilar,0,0,1,NA,NA,NA,3,3,NA,1,0,6
15,BYUI,c.dissimilar,0,1,3,3,4,6,10,9,547,1,0,6
16,BYUI,c.dissimilar,1,0,1,NA,NA,NA,4,6,NA,0,0,6
