id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,BYU,c.dissimilar,0,1,6,2,5,5,9,8,549,1,0,6
2,BYU,c.dissimilar,1,0,3,NA,NA,NA,4,2,NA,0,0,6
3,BYU,c.dissimilar,0,0,6,NA,NA,NA,4,4,NA,1,0,6
4,BYU,c.dissimilar,1,0,1,NA,NA,NA,5,8,NA,0,0,6
5,BYU,c.dissimilar,1,1,1,1,10,10,10,10,548,0,0,6
6,BYU,c.dissimilar,0,1,1,1,9,8,4,8,552,1,0,6
7,BYU,c.dissimilar,0,0,0,NA,NA,NA,4,3,NA,1,0,6
8,BYU,c.dissimilar,1,0,3,NA,NA,NA,7,7,NA,0,0,6
9,BYU,c.dissimilar,0,0,1,NA,NA,NA,3,3,NA,1,0,6
10,BYU,c.dissimilar,0,1,3,2,7,10,9,9,531,1,0,6
12,BYU,c.dissimilar,1,1,1,1,8,9,10,8,560,0,0,6
13,BYU,c.dissimilar,1,0,3,NA,NA,NA,8,7,NA,0,0,6
14,BYU,c.dissimilar,0,0,1,NA,NA,NA,3,3,NA,1,0,6
15,BYU,c.dissimilar,0,1,3,3,4,6,10,9,547,1,0,6
16,BYU,c.dissimilar,1,0,1,NA,NA,NA,4,6,NA,0,0,6
18,BYU,c.dissimilar,0,0,4,NA,NA,NA,5,6,NA,1,0,6
20,BYU,c.dissimilar,0,1,3,3,7,7,6,5,528,1,0,6
21,BYU,c.dissimilar,0,0,4,NA,NA,NA,5,8,NA,1,0,6
22,BYU,c.dissimilar,1,1,7,5,8,2,6,7,492,0,0,6
23,BYU,c.dissimilar,1,0,1,NA,NA,NA,5,10,NA,0,0,6
24,BYU,c.dissimilar,0,1,5,5,9,9,5,2,558,1,0,6
25,BYU,c.dissimilar,1,0,1,NA,NA,NA,7,10,NA,0,0,6
26,BYU,c.dissimilar,1,1,1,4,9,7,8,6,531,0,0,6
27,BYU,c.dissimilar,0,0,3,NA,NA,NA,9,10,NA,1,0,6
28,BYU,c.dissimilar,1,1,1,3,7,8,8,10,540,0,0,6
29,BYU,c.dissimilar,0,0,1,NA,NA,NA,3,2,NA,1,0,6
30,BYU,c.dissimilar,1,0,5,NA,NA,NA,4,4,NA,0,0,6
31,BYU,c.dissimilar,0,1,5,3,10,10,8,6,558,1,0,6
32,BYU,c.dissimilar,1,0,3,NA,NA,NA,3,7,NA,0,0,6
33,BYU,c.dissimilar,0,0,7,NA,NA,NA,8,5,NA,1,0,6
