V1,MID,ip.location,not.mturk.duplicate
R_bsGV3aD1fHKfX0h,A3NAHN61XJ3ZAT,USA,1
R_832SN0CZ6XPWpoh,A3NE7SIDYZCF98,USA,1
R_8oEi3j9Gsay7W2V,A3NMQ3019X6YE0,USA,1
R_3DHCOFy01cvcjjf,A3NOL60Q1HWPXO,USA,1
R_5o1s3uhONukAbPv,A3NWQ0535HAXUD,India,1
R_5pbkSYcxHHzo4N7,A3OLRWACCCCUTU,USA,1
R_ahgsBpjKfpyowEl,A3OMUSG91MTI3H,USA,1
R_6eO4D8cgrGuyOtD,A3P2C7NKDAP9XP,USA,1
R_0HBM3A7bkzpJLdr,A3P74FP62XNVYI,USA,1
R_a3ueN2RjpaI7xrL,A3PIU3R3IE6VDW,USA,1
R_eanogOjCJ6UJEoZ,A3PKJ0CX86ZAWN,India,1
R_8p5tkj9Ju4t9CM5,A3PZMH0G4UBMYG,USA,1
R_1XEYJUvEQ6C0dTv,A3QAXG696ONGIF,USA,1
R_06SNLZDD3afbDW5,A3QB0Z9AN62HFH,USA,1
R_6fg4QiTm2u0rjNP,A3QKPQ5P7QV5XT,Europe,1
R_8B158ijfm5idyvz,A3QY3I5O0STFGA,USA,1
R_5bsEwpQMAgZAk9n,A3R25SV8HUGML2,USA,1
R_29xjaWZ8V1chHpP,A3RIBFIB7C8D20,USA,1
R_blTOOhJ4FDLeosZ,A3RKB3V6GUGKAX,USA,1
R_2sEsZ6tYN01ACmF,A3RR85PK3AV9TU,USA,1
R_eeQgZMnGlxEu5iB,A3RRCLDVNSFS6H,USA,1
R_2sn0Tp0iGoGzBvD,A3RTROKHB6J9B9,USA,1
R_6ikB0TWkXutLgfb,A3S8HNGZ7BN1I6,India,1
R_6rEjcWZFXknZkb3,A3T3K88IYZ9H8K,USA,1
R_7VvKuX0XQAQUvWZ,A3TVDFJ22T1FFN,India,1
R_1ZcueFTqmsbMZBH,A3TWL91KU8T9RB,USA,1
R_8ptjxYm9uf2lnud,A3TX4N6SOLVMBS,USA,1
R_3sKakm4TrNfRsH3,A3U5CRG5S8I800,USA,1
R_5vY53nlOWQDGTKB,A3USS4O0RQZ37K,USA,1
R_5bVFgipm4kMTZLD,A3VDFWL4MI3KPA,USA,1
R_9S6pqPJTD97ZRjL,A3VHGPLNC1VLQ5,USA,1
R_50IOWQXYaWTo5y5,A3VJY2IKOZ17GJ,USA,1
R_3t9GQbaozdRe8tv,A4T1X0PO5N1G9,USA,1
R_3UiKTUlVgktKWsR,A4VE2G6MHTDFQ,USA,1
R_6RN1YTffnHz34C9,A52FTWU8ZCZC7,USA,1
R_2f6rUFmyzgXpptP,A544VW8YTMPJP,USA,1
R_6XwvEJp6GHpuZHD,A5BMKZRGHNSRT,USA,1
R_8wCD0CLP20ZNPBX,A5EH8I0OCNCK4,USA,1
R_bwI7lAjIItnvxop,A66GVEZ7BBLH,USA,1
R_breftrSx6JVciTr,A69KEZJP0BY6B,USA,1
R_efdBBEHtSUracMl,A6YPMKB076U0V,USA,1
R_1HbKiSUE0uJ9C7P,A7CYU79YGRVQ8,USA,1
R_esKY5g7F7X4JxgF,A7OUDYWWANAHW,USA,1
R_cVfpiAUG2DQa6zz,A8119VX6QGMYX,USA,1
R_b92TU9lkwEOH4ih,A8BU58N5GX7OV,USA,1
R_aVmnE9KINQRadud,A8R36LINQ8Y4O,USA,1
R_a49km0e05cacPXL,A8RAYYZKGDBQD,USA,1
R_3drMddSJ08RtbxP,A8V4K61KQLCRD,USA,1
R_9t9GW6AYreATieh,A997OZ3H2B3Q2,India,1
R_cYh1ABj61QBcPbv,A9EXZQRCRTWJT,India,1
R_5tf6P2Zk5dqNVQh,AAJEPFSQNC6X,USA,1
R_9BjMKGZaCiOOEIJ,AAOLV0IQA9VH2,USA,1
R_8dc72fWpMOmnyjX,AB4ZO8CFGCVIM,USA,1
R_6eOkCJx5IxKjgi1,AB7M07R1AUWQT,USA,1
R_9TCrrZxe4AYYliR,ABI9ZPA1SGP8F,USA,1
R_cXZU27abjbn97JX,ABJY0KZQ7SIQ8,USA,1
R_6D5WAeXogDE0ee9,AC44SQOR2QF0V,USA,1
R_6qT6dXZqLyJlcLb,ACDTQNYOT3GG8,USA,1
R_7URZjVbE3NiwVrn,ACS097G9ELES4,USA,1
R_0HSgO8oWcGycBOl,ACVEFRSUAPSEQ,USA,1
R_4IApbsAI532jr5X,ACVJ6IUO9QM4R,USA,1
R_71EzLyCwPzN73ZX,ACXKO7WRVOXWQ,USA,1
R_6SAGKzaSe6ME5nv,AD5IKFAK8KN4P,India,1
R_5dWfTNHeBdfmrkx,ADELW3TS04YY7,USA,1
R_6fMqgDOSbdhRHNP,ADQKTG5B8ZW1G,USA,1
R_eVYqlCMhvtSyc8R,AEA29X7DRJX31,USA,1
R_bJJwF2fiSEoBmW9,AEDV0CBBPU0RE,USA,1
R_4H0BPW6NRDKW1q5,AEFZ7E5M1QZ0P,USA,1
R_55d1dtERMQ7getn,AEHZWBU595324,USA,1
R_3ygJIA7raLlLErz,AEKCK3L7OKCY9,USA,1
R_3EpN1n2vzTLUnT7,AENW881YO2H8S,USA,1
R_3fUxuVOGXAW0NYp,AET2HPL32OWOT,USA,1
R_8jrvhDCZFAkmDZj,AETIZKQNUSBLB,USA,1
R_4YPOcm8ttMvQLad,AEX8NVMAV2QCK,USA,1
R_1H5kXdvQIDk9g3P,AFDOCG0RZGSXU,India,1
R_bwvKvl6vtph3CFD,AFKHZQ5SW7CSL,USA,1
R_a9PyVdAClMbWPCB,AGCZJRTLMEH4L,USA,1
R_3xFeuHUDTVjvdQx,AH0M83IVKSTDN,USA,1
R_0kNMbdBBbo34dIp,AH4RLAVOVY2AF,USA,1
R_0fHFU2dyBwlMp7v,AH6PQTU8QFO8U,USA,1
R_br9XVZnSUKAI4tf,AH8RAHAUN9MZP,USA,1
R_cYlqzAmdOTjXvud,AHGJTOTIPCL8X,USA,1
R_4PBdVhJMXt8rDVj,AHJQDF8PAHVDP,USA,1
R_agg7QR4RcBA3qMR,AHLADH7JTJRO8,India,1
R_8vIFbuFVcsphdcx,AHLS6AZ1VTNH7,India,1
R_6ipWvcFaEpsugyp,AHZPOM46IUJ2N,USA,1
R_aacFv8QnOm3rZMp,AI1MF6MS74XFY,USA,1
R_6G0wAXSNPoCHxel,AI8N0V1I5D1O2,USA,1
R_9vmZeMl4NVLkSB7,AIESUL3HUOE97,USA,1
R_3DA77nMa4JhxdvD,AIH06SF8MK6XF,USA,1
R_5z2kX0joxnKhKEB,AIHMZCVRHFVWC,USA,1
R_2b46MlQrd8f7GcZ,AJ85Y7G0C3BCF,USA,1
R_3q43hHD0CAaC8Id,AK0S8EQHPETZQ,USA,1
R_1SsHmeKkKOsUHdP,AK884VX5S74ZW,USA,1
R_a8IyaNzbWgV6SW1,AKC6351TW2FA4,USA,1
R_71UFLV6AhsLAjPf,AKLV0WIZZ356X,USA,1
R_7O4f6IejMoP6BxP,ALLP45O3BDWYM,USA,1
R_daOxRKdSuKcYlOR,ALMX1BC2N51RV,USA,1
R_018geyl6mX7gVq5,ALO2B6DEY8THB,USA,1
R_6okhlUtF6rIXzxP,ALT88JWMD3JVJ,India,1
R_2fxtm0sqXKcsBs9,ALZAEFAGR5MFE,USA,1
R_3LeveWoI0ZSPRlP,AMG9Y1YLBTKIV,USA,1
R_1YcYG1tCOpIfp9b,AMHZ8D856PO3F,India,1
R_87Khsj6xUeiqNPn,AN1IJMZIB3QS4,USA,1
R_escVseD4UTZmhnL,AN3F3H70WHNAM,USA,1
R_4MFn5KYnFt9kKix,ANFWGSQ8BQRZ,USA,1
R_cASIGGRQED4yL0V,ANKCM4EYXW96O,USA,1
R_dg0waCJaBmowd0h,ANRGR48ESBM8W,USA,1
R_0wcxc0zlkWbUbNb,ANWSLPX57D1QQ,USA,1
R_6WO50m4ik846U1n,AO7FM98CP90CL,USA,1
R_0chJ1kC3G0md64Z,APQMFEY1KUL6A,India,1
R_2lf790lsdd7aCRn,APQPWTKGNJ4JQ,USA,1
R_1RmdQCX1a6F2itT,APYYV3B1MT2B6,India,1
R_8CElSlQfQwAxddP,AQ2INPVVXR1G0,USA,1
R_8e1GETAxGl8ZdNX,AQA9YD7DDXWYN,USA,1
R_eas7LCjvfGFaS4R,AQMY0PDFWXT9H,USA,1
R_dg7VYcZm8ZHchyl,AQORJW4W8U9YU,USA,1
R_26u2jYmDTPIWCbP,AQVP5IH2S6WCB,USA,1
R_4JgHEka4Z2D1PRX,AR1IWBDA7MC86,USA,1
R_9ogHvtqAl8fwsf3,AR20RBERHIPN8,USA,1
R_5uodwZRkHrlMw6x,AR34M0TTKXKJT,USA,1
R_6A0zuGmgT6otFxb,ARG47LD1T4XXY,USA,1
R_71Eeh1U0F7zV1mB,ARLSOH5YMGJGN,USA,1
R_ey7XvUU8kwAGWuF,ARNTOT4L28BBP,USA,1
R_bkCdkQiUdPhIySp,AROEBUDI2L9G9,USA,1
R_brd3cOjeXZN8STH,AS1QMPXIT1EGX,USA,1
R_0vcad2wUH4AI7Fr,AS2Q4GU25G87R,USA,1
R_3K0IoJgHnLd5M69,ASROVV61167I6,India,1
R_eg4VDx7G47OOGwJ,ASRPEZ6XUT13S,USA,1
R_bknoFCF5WD1G0Tj,ASS4LIVDW452F,USA,1
R_8DkDsw61Qpc8CAl,ASUN9TWBTBRCY,USA,1
R_cYM230WPKVOEOA5,ASXACVODSYD7G,USA,1
R_3sLwM622kGb4H1b,ATKG4FI2S5MVL,USA,1
R_2lgw7O0E2PDJzY9,ATRHDYWCIYTDJ,India,1
R_e3rqyRYDceDqeQl,ATXVKBFVTZZQW,USA,1
R_55bz9pjFK7X3TzT,AU0LVWJM11NLF,USA,1
R_00ofYbxFjXjoEm1,AU0NZI2T3R792,USA,1
R_d536cTBXgdgpdwV,AU2NVT51E749C,USA,1
R_1YVFoIjbndzxGV7,AU4A8G87D82C3,USA,1
R_9NV7v2nKaYVITdj,AU87XFYNZI4B5,India,1
R_3yYVC0o1V0pIt3D,AUF665DF3MI77,USA,1
R_b8wMluPTHEFtWD3,AUI3R928P63B0,India,1
R_0fHLEZgkjH6Tjox,AULIHTDI0Q1IY,India,1
R_0qxULDH5jMkeRGR,AUO7XEZDY9496,USA,1
R_cIxf1RKnRB8UrB3,AURYD2FH3FUOQ,USA,1
R_cGX0wvCe2lFNukd,AVI7K876BV3QL,USA,1
R_2csNUBPrA6NJBpX,AVOBTG10RK2V2,USA,1
R_d6AmqEeOlE6zRkh,AVRD54P0D2AR4,USA,1
R_dgLA78dzmewLUQ5,AVX3SWFMBEPMZ,USA,1
R_eGbnzQJPO6iFTX7,AVXEDARJC5HLU,USA,1
R_4TnqjXcTCwQdQeV,AWA9E0MXCUZEX,USA,1
R_cCnQP7sz1Arsb09,AWJTO98M4DQFL,USA,1
R_8kRZathlq7WwhpP,AWSBMEVHA939W,USA,1
R_9RAbtkR6ZKFVZt3,AWTGJ45ZWUCHH,USA,1
R_77Xo3ixFuVueijj,AXQAMAX5I3RMS,USA,1
R_eP9wnjfht1yr31j,AY0758IITCGOZ,USA,1
R_cUVbrSoebhqvjUx,AZFJ4Y7VFQBDH,Europe,1
R_aWP20Yx5PwbSxXT,AZIY6IFOS4CVC,USA,1
R_eku1Cj3SMwuEv8V,AZKC2HLJOVL04,USA,1
R_6RO2pPydoUfVyS1,AZOS1CTMW0J3F,USA,1
