"","a","mTurkCode","V8","V9","V10","X6","Cognitive load","Had read","Q1","Q2_1","Q3","Q4_1","Q6","Q7_1","Q8","Q9_1","Q11_1","Q14_1","Q13","end.num","eff.split","badness","importance","count.eff","count.hard"
"1","ResponseID","mTurkCode","StartDate","EndDate","Finished","Exclude","Cognitive load","Had read","Please read the directions carefully. /  /    /  /  In this short study, you will be asked to complete two t...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /   /   /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the directions carefully. /   /   /  /   In this short study, you will be asked to complete two...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /    /  /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the following scenario carefully. /  /   /  Imagine that you are in a large lecture with a few...-&nbsp;","Please read the following scenario carefully.  /    /  /  Imagine that you are in a large lecture with a f...-&nbsp;","Thank you for participating in this study. ξ If you have any comments about it, please enter them...",NA,NA,NA,NA,NA,NA
"62","R_1lmfLR9O56SPEHq","4234463","3/17/17 15:10","3/17/17 15:21","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"63","R_1lyIw0Zeed1zzmE","4238393","3/17/17 14:56","3/17/17 15:21","1",NA,"1","1","1","3","518","3",NA,NA,NA,NA,NA,NA,NA,518,3,NA,NA,NA,NA
"64","R_XLJeKysKsp7neHn","4230294","3/17/17 15:20","3/17/17 15:21","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"65","R_21BYZ1YKtWdVEaT","4230362","3/17/17 15:16","3/17/17 15:21","1",NA,"1","1","1","7","500","4",NA,NA,NA,NA,NA,NA,NA,500,4,NA,NA,NA,NA
"66","R_rkwCG5WNvab0Bxf","4234001","3/17/17 15:21","3/17/17 15:23","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"More likely to get called on when sitting in the front or seeming extremely disengaged",NA,NA,NA,NA,NA,NA
"67","R_10GdYIMT7FiHJq0","4232879","3/17/17 15:24","3/17/17 15:43","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"68","R_cZ1Ka3MCvvw9MVH","4238935","3/17/17 15:24","3/17/17 15:44","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"I really like the section that set for us! Thank you!",NA,NA,NA,NA,NA,NA
"69","R_bykljdda80Rtirn","4230749","3/17/17 15:24","3/17/17 15:46","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"70","R_1DGzOdIGfq1HlNz","4236135","3/17/17 11:30","3/17/17 11:47","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","R_ypRjmE5hMrL8htT","4238106","3/17/17 16:04","3/17/17 16:14","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","I hope to learn more about what the study is about and connecting the dots between the different activities and surveys.",NA,NA,NA,NA,NA,NA
"72","R_3ptpxm7BbI2SDRc","4232620","3/17/17 15:54","3/17/17 16:16","1",NA,"1","1","1","1","53","2",NA,NA,NA,NA,NA,NA,NA,53,2,NA,NA,NA,NA
"73","R_2TGDhMVqrhrVTVh","4238701","3/17/17 15:53","3/17/17 16:17","1",NA,"1","0",NA,NA,NA,NA,"1","7","540","1",NA,NA,"multi-task is difficult",540,1,NA,NA,NA,NA
"74","R_2f3sBj53zZjmWdl","4237399","3/17/17 16:27","3/17/17 16:28","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"75","R_1GE6qL7rJjX2s64","4234936","3/17/17 16:29","3/17/17 16:29","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"76","R_3IRHjnrNz5677CP","4234935","3/17/17 16:29","3/17/17 16:29","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"77","R_1DUqCnzuWPg00BR","4231549","3/17/17 16:28","3/17/17 16:30","1",NA,"1","0",NA,NA,NA,NA,"1","9","532","4",NA,NA,NA,532,4,NA,NA,NA,NA
"78","R_1pJxBUnFt7camly","4230318","3/17/17 16:28","3/17/17 16:30","1",NA,"1","1","1","2","534","4",NA,NA,NA,NA,NA,NA,NA,534,4,NA,NA,NA,NA
"79","R_3pm3re2Pmj4uNj5","4234234","3/22/17 15:37","3/22/17 16:14","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","very interesting",NA,NA,NA,NA,NA,NA
"80","R_3lVLdOv9zAvSZ6S","4234463","3/22/17 16:14","3/22/17 16:16","1",NA,"1","0",NA,NA,NA,NA,"1","2","261","1",NA,NA,NA,261,1,NA,NA,NA,NA
"81","R_1i8SPqgMENK8I1U","4235033","3/22/17 15:38","3/22/17 16:16","1",NA,"1","0",NA,NA,NA,NA,"1","1","552","1",NA,NA,NA,552,1,NA,NA,NA,NA
"82","R_3R3AvHX5ZrCJim5","4239463","3/22/17 16:18","3/22/17 16:41","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"83","R_3paqPmpV0hM3X5a","4236057","3/22/17 16:18","3/22/17 16:42","1",NA,"1","1","1","0","528","1",NA,NA,NA,NA,NA,NA,NA,528,1,NA,NA,NA,NA
"84","R_1F95X7Nrw9FV8Hd","4235215","3/22/17 16:18","3/22/17 16:42","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","I'm drawing from previous experience.",NA,NA,NA,NA,NA,NA
"85","R_22m4hcr0WnSaKJ5","4233793","3/22/17 16:46","3/22/17 17:19","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA
"86","R_1EiIYpWzMnQRY9L","4234048","3/22/17 16:46","3/22/17 17:19","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"87","R_1qb0Rmj2WPkQah3","4232382","3/22/17 16:46","3/22/17 17:22","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA
"88","R_1k2kix0QDeQFzoZ","4231101","3/24/17 14:59","3/24/17 15:17","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"89","R_1qXvpK0XwAGFxId","4233795","3/24/17 14:56","3/24/17 15:18","1",NA,"1","0",NA,NA,NA,NA,"1","7","7","5",NA,NA,NA,7,5,NA,NA,NA,NA
"90","R_26alNhpnSvkmjwn","4235353","3/24/17 15:16","3/24/17 15:19","1",NA,"1","0",NA,NA,NA,NA,"1","5","553","2",NA,NA,NA,553,2,NA,NA,NA,NA
"91","R_2DZT3IL8ltpTqoI","4232828","3/24/17 15:36","3/24/17 16:08","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"92","R_11aPGctLepBkt29","4230010","3/24/17 15:36","3/24/17 16:22","1",NA,"1","1","1","0","501","0",NA,NA,NA,NA,NA,NA,NA,501,0,NA,NA,NA,NA
"93","R_1DBibECZvj64afr","4232060","3/24/17 15:35","3/24/17 16:24","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA
